"","airline","airport","arr","dep","yearly_passengers","hub_type","sum"
"1","AA","ABQ",3.78193671743313,4.13446057655685,2479239,"Medium",7.91639729398998
"2","AA","ALB",3.87278917861522,4.0992250419364,1397839,"Small",7.97201422055162
"3","AA","ATL",3.39963225141098,3.85838311640516,44817870,"Large",7.25801536781614
"4","AA","AUS",3.43595044992586,3.76134266435825,6779552,"Medium",7.19729311428412
"5","AA","BDL",3.68030468216529,3.65409486487917,3097000,"Medium",7.33439954704446
"6","AA","BNA",3.6336029166201,3.99107528489758,7035239,"Medium",7.62467820151768
"7","AA","BOS",2.73282841229252,3.26279399974691,15481957,"Large",5.99562241203943
"8","AA","BUF",3.92672091899078,4.00047023310176,2356494,"Medium",7.92719115209254
"9","AA","BWI",3.45559064750588,3.841008445423,12684344,"Large",7.29659909292888
"10","AA","CHS",3.82815585295508,3.91591041437694,1949384,"Medium",7.74406626733202
"11","AA","CLE",3.87633484410693,4.02938058684744,4401569,"Medium",7.90571543095437
"12","AA","CLT",2.73752926163704,3.21349690374342,20785356,"Large",5.95102616538046
"13","AA","CMH",3.42951974305088,3.98621277822981,3704541,"Medium",7.41573252128069
"14","AA","COS",3.74759514124517,3.92700994919001,852204,"Small",7.67460509043518
"15","AA","DCA",2.79951367724161,3.53654582482258,11390840,"Large",6.33605950206419
"16","AA","DEN",3.21785965256993,3.87663554326714,28903645,"Large",7.09449519583707
"17","AA","DFW",2.43094068853849,2.87361327433799,27862777,"Large",5.30455396287648
"18","AA","DSM",3.66458635706918,4.12959502721243,1274917,"Small",7.7941813842816
"19","AA","DTW",3.28175573816664,3.82908378581517,15375391,"Large",7.1108395239818
"20","AA","EGE",3.27029677675035,3.83848406617048,155172,"Nonhub",7.10878084292083
"21","AA","ELP",3.6897713993294,4.03348670199782,1466345,"Small",7.72325810132722
"22","AA","EWR",3.44726247125157,3.61989227463538,15327436,"Large",7.06715474588694
"23","AA","FLL",3.41690516040929,3.8729774184353,12419785,"Large",7.2898825788446
"24","AA","HNL",2.74654044663673,3.71058632969828,7424983,"Medium",6.45712677633501
"25","AA","IAD",3.52018006486872,3.74249006633782,7371602,"Medium",7.26267013120654
"26","AA","IAH",3.66391045418451,3.76433717005145,14625107,"Large",7.42824762423596
"27","AA","IND",3.72265525611559,3.86018750616382,4367415,"Medium",7.58284276227942
"28","AA","JAX",3.87952356341125,4.06319915463718,2703132,"Medium",7.94272271804842
"29","AA","JFK",2.69285420032402,3.52725172041561,13676143,"Large",6.22010592073964
"30","AA","KOA",3.29296529988091,3.85652381526485,1681142,"Small",7.14948911514576
"31","AA","LAS",3.0813335851904,3.89628628353347,21754529,"Large",6.97761986872387
"32","AA","LAX",2.71615621306849,3.74545096598566,29409829,"Large",6.46160717905415
"33","AA","LGA",2.28353784366252,3.17873770816909,13589163,"Large",5.46227555183161
"34","AA","LIH",3.08116685563038,3.79181829447818,1502050,"Small",6.87298515010856
"35","AA","MCI",3.55967062878625,4.03446691700659,5775386,"Medium",7.59413754579284
"36","AA","MCO",3.2239296552554,3.3907352209767,19022844,"Large",6.61466487623211
"37","AA","MEM",3.65721541083001,3.98793642911322,2122447,"Medium",7.64515183994323
"38","AA","MFE",3.69441107058667,4.22160337095941,322756,"Nonhub",7.91601444154607
"39","AA","MIA",2.95921405588994,3.63904775523819,10371722,"Large",6.59826181112813
"40","AA","MKE",3.79432874348587,3.90497441088624,3417379,"Medium",7.69930315437211
"41","AA","MSP",3.47492057081585,3.943803759984,17046950,"Large",7.41872433079985
"42","AA","MSY",3.28370415350822,3.90592978226073,6031426,"Medium",7.18963393576895
"43","AA","OGG",2.77864021591506,3.66384579499753,3264579,"Medium",6.4424860109126
"44","AA","OKC",3.77364375243293,4.0336134891697,1956400,"Medium",7.80725724160262
"45","AA","OMA",3.52565592195654,4.15347921212694,2295573,"Medium",7.67913513408348
"46","AA","ONT",3.57006378461214,4.0213378980729,2232571,"Medium",7.59140168268504
"47","AA","ORD",2.51061063409917,2.95412088434556,32397952,"Large",5.46473151844473
"48","AA","ORF",3.63460318544386,3.88238093119526,1715525,"Small",7.51698411663912
"49","AA","PBI",3.48520466492547,3.77463517417783,3038458,"Medium",7.2598398391033
"50","AA","PDX",3.50653632837749,3.96786294461247,9091341,"Large",7.47439927298997
"51","AA","PHL",2.69440580193749,3.11281816052959,12609106,"Large",5.80722396246708
"52","AA","PHX",3.03765343861662,3.33810585940249,20580907,"Large",6.37575929801911
"53","AA","PIT",3.51485219293026,4.10183004684296,4245874,"Medium",7.61668223977323
"54","AA","PVD",3.70164036871368,4.15250865212074,1883749,"Medium",7.85414902083442
"55","AA","RDU",3.37746849845066,3.57369820094361,5556987,"Medium",6.95116669939427
"56","AA","RIC",3.95316410144375,3.95705752380573,1819633,"Small",7.91022162524948
"57","AA","RNO",3.70379148325664,3.97995979526514,1944629,"Medium",7.68375127852178
"58","AA","RSW",3.52647575416901,3.95724422385795,4170956,"Medium",7.48371997802696
"59","AA","SAN",3.31705524020251,4.04697146257968,10783376,"Large",7.36402670278219
"60","AA","SAT",3.59041599219592,3.9688226809707,4315831,"Medium",7.55923867316662
"61","AA","SEA",3.00380262219517,3.98722372106163,20273105,"Large",6.9910263432568
"62","AA","SFO",2.61824418878158,3.99854743926166,20565622,"Large",6.61679162804324
"63","AA","SJC",3.44564927131602,4.17597760754082,5841651,"Medium",7.62162687885684
"64","AA","SJU",2.23575620315135,3.15447258386725,3484584,"Medium",5.3902287870186
"65","AA","SLC",3.54440348971445,3.95590167230801,11192766,"Large",7.50030516202246
"66","AA","SMF",3.55694030864981,3.93141559577174,5343834,"Medium",7.48835590442155
"67","AA","SNA",3.2625048697562,3.81751649063494,5029430,"Medium",7.08002136039114
"68","AA","STL",3.28481963874199,4.10072144411489,7341336,"Medium",7.38554108285688
"69","AA","STT",2.64196983372227,3.02158585372531,595722,"Small",5.66355568744757
"70","AA","TPA",3.09921057418504,3.55983271572165,9198974,"Large",6.65904328990669
"71","AA","TUL",3.74909677928446,3.72549162001758,1407521,"Small",7.47458839930204
"72","AA","TUS",3.55084655572401,3.86462764942797,1677366,"Small",7.41547420515199
"73","DL","ABQ",3.49189452878414,4.11941507121294,2479239,"Medium",7.61130959999709
"74","DL","AGS",3.49226172590862,4.07178474483539,282248,"Nonhub",7.56404647074401
"75","DL","ALB",3.35891740918523,3.95406977068132,1397839,"Small",7.31298717986655
"76","DL","ANC",3.3304273389695,4.0679988070899,2501286,"Medium",7.3984261460594
"77","DL","ATL",2.03674177716421,3.06921445387972,44817870,"Large",5.10595623104393
"78","DL","AUS",3.45279921774645,3.52852505494125,6779552,"Medium",6.98132427268771
"79","DL","BDL",3.63763690226446,3.9075011557234,3097000,"Medium",7.54513805798786
"80","DL","BHM",3.61280732916434,3.82334709939584,1382980,"Small",7.43615442856018
"81","DL","BNA",3.39663634511893,3.66098802272003,7035239,"Medium",7.05762436783897
"82","DL","BOS",2.80439112536893,3.36251361133664,15481957,"Large",6.16690473670557
"83","DL","BUF",3.66616507795105,3.9495434724238,2356494,"Medium",7.61570855037485
"84","DL","BWI",3.41853048148404,3.66422993584974,12684344,"Large",7.08276041733378
"85","DL","BZN",3.42834231778803,3.90892142718028,598702,"Small",7.33726374496831
"86","DL","CAE",3.45364967470561,3.98548755302015,534855,"Small",7.43913722772576
"87","DL","CAK",3.65129911111356,4.04078566442337,614448,"Small",7.69208477553693
"88","DL","CHS",3.3411988293,3.35828028452084,1949384,"Medium",6.69947911382085
"89","DL","CLE",3.47642366556893,3.84625499566748,4401569,"Medium",7.32267866123641
