airline,airport,type,block,n,airline_airport
AA,ALB,Arrival,2017-01-01T00:01:00Z,-59,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T00:11:00Z,-20,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T00:21:00Z,-16,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T00:31:00Z,-9,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T00:41:00Z,-7,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T00:51:00Z,-4,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T01:01:00Z,-3,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T01:11:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T01:31:00Z,-4,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T01:41:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T01:51:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T02:21:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T02:51:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T11:41:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T11:51:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T12:01:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T12:11:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T13:21:00Z,-8,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T13:31:00Z,-76,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T13:41:00Z,-130,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T13:51:00Z,-76,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T14:01:00Z,-27,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T14:11:00Z,-9,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T14:21:00Z,-6,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T14:31:00Z,-4,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T14:41:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T14:51:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T15:11:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T15:31:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T15:41:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T15:51:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T16:01:00Z,-14,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T16:11:00Z,-17,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T16:21:00Z,-9,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T16:31:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T16:41:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T16:51:00Z,-1,American / Albany International Airport (ALB)
