"airline","airport","arr","dep","yearly_passengers","hub_type"
"AA","ABQ",2.2829383721262,2.31735272773549,2479239,"Medium"
"AA","ALB",2.58784445246409,2.69710330522313,1397839,"Small"
"AA","AMA",2.75508085400891,3.10955571124689,340989,"Nonhub"
"AA","ANC",2.42691793908575,2.84455062696363,2501286,"Medium"
"AA","ATL",1.08284858845923,1.42503720517706,44817870,"Large"
"AA","AUS",1.18069513571865,1.38096178057265,6779552,"Medium"
"AA","BDL",1.52590030768734,1.84484964741722,3097000,"Medium"
"AA","BNA",1.55482364511558,1.98445629508975,7035239,"Medium"
"AA","BOI",2.62812726243506,2.66411613640652,1801509,"Small"
"AA","BOS",0.650585955387735,0.905971161084038,15481957,"Large"
"AA","BUF",2.25951313539853,2.66346970668736,2356494,"Medium"
"AA","BWI",1.55241321058192,2.01282156607078,12684344,"Large"
"AA","BZN",2.78096018805637,2.97655557480002,598702,"Small"
"AA","CHS",2.04356887195289,2.34001925877302,1949384,"Medium"
"AA","CLE",2.15616821775889,2.17270901853177,4401569,"Medium"
"AA","CLT",1.21494241392145,1.50028488645078,20785356,"Large"
"AA","CMH",1.95225694196527,2.12312594795954,3704541,"Medium"
"AA","COS",2.4362387073484,2.56952597900122,852204,"Small"
"AA","CRP",3.02237815340713,3.16241008750746,320783,"Nonhub"
"AA","CVG",2.70394583414354,2.86246998108487,3680221,"Medium"
"AA","DAB",2.7938002940456,2.80344992179329,344758,"Nonhub"
"AA","DAY",2.65473021352177,2.79188273848872,933907,"Small"
"AA","DCA",0.818799669942862,1.08945989505301,11390840,"Large"
"AA","DEN",1.10356412075333,1.28725373058199,28903645,"Large"
"AA","DFW",1.07167928237955,1.19887917134683,27862777,"Large"
"AA","DSM",2.3032990589853,2.58257183169205,1274917,"Small"
"AA","DTW",1.53293162686502,1.63801913553868,15375391,"Large"
"AA","EGE",1.91974241481696,1.9479012048907,155172,"Nonhub"
"AA","ELP",2.17710580573986,2.66680024807551,1466345,"Small"
"AA","EWR",1.40421175852078,1.42550624448229,15327436,"Large"
"AA","FAT",2.43101251200772,2.75079751291308,650815,"Small"
"AA","FLL",1.39003114778166,1.52662120196979,12419785,"Large"
"AA","GEG",2.57908222258622,2.57622114479039,1700983,"Small"
"AA","GSO",3.03006151345736,2.91467114062486,881109,"Small"
"AA","GSP",2.63834570835729,2.64695440811297,1035938,"Small"
"AA","GUC",2.37491234123122,2.6089381827439,32392,"Nonhub"
"AA","HDN",2.60759966449262,2.95404630384705,94484,"Nonhub"
"AA","HNL",1.35953211497673,1.85151770954758,7424983,"Medium"
"AA","IAD",2.04497006667034,2.35228614323152,7371602,"Medium"
"AA","IAH",1.06508857652297,1.33398682754186,14625107,"Large"
"AA","ICT",2.90080678305939,2.8694664406562,809842,"Small"
"AA","ILM",2.32221441980165,2.57196978283169,418892,"Small"
"AA","IND",1.82520980508569,1.82709298986783,4367415,"Medium"
"AA","JAC",2.1958643738798,2.39615764139082,339024,"Nonhub"
"AA","JAX",1.81385413142077,2.01694393436741,2703132,"Medium"
"AA","JFK",0.903604966471153,1.15353110827422,13676143,"Large"
