"airline","airport","type","fitted","block"
"AA","ABE","arr",0,1970-01-01 00:01:00
"AA","ABE","arr",0,1970-01-01 00:31:00
"AA","ABE","arr",0,1970-01-01 01:01:00
"AA","ABE","arr",0,1970-01-01 01:31:00
"AA","ABE","arr",0,1970-01-01 02:01:00
"AA","ABE","arr",0,1970-01-01 02:31:00
"AA","ABE","arr",0,1970-01-01 03:01:00
"AA","ABE","arr",0,1970-01-01 03:31:00
"AA","ABE","arr",0,1970-01-01 04:01:00
"AA","ABE","arr",0,1970-01-01 04:31:00
"AA","ABE","arr",0,1970-01-01 05:01:00
"AA","ABE","arr",0,1970-01-01 05:31:00
"AA","ABE","arr",0,1970-01-01 06:01:00
"AA","ABE","arr",0,1970-01-01 06:31:00
"AA","ABE","arr",0,1970-01-01 07:01:00
"AA","ABE","arr",0,1970-01-01 07:31:00
"AA","ABE","arr",0,1970-01-01 08:01:00
"AA","ABE","arr",0,1970-01-01 08:31:00
"AA","ABE","arr",0,1970-01-01 09:01:00
"AA","ABE","arr",0,1970-01-01 09:31:00
"AA","ABE","arr",0,1970-01-01 10:01:00
"AA","ABE","arr",0,1970-01-01 10:31:00
"AA","ABE","arr",0,1970-01-01 11:01:00
"AA","ABE","arr",0,1970-01-01 11:31:00
"AA","ABE","arr",0,1970-01-01 12:01:00
"AA","ABE","arr",0,1970-01-01 12:31:00
"AA","ABE","arr",0,1970-01-01 13:01:00
"AA","ABE","arr",0,1970-01-01 13:31:00
"AA","ABE","arr",0,1970-01-01 14:01:00
"AA","ABE","arr",0,1970-01-01 14:31:00
"AA","ABE","arr",0,1970-01-01 15:01:00
"AA","ABE","arr",0,1970-01-01 15:31:00
"AA","ABE","arr",0,1970-01-01 16:01:00
"AA","ABE","arr",0,1970-01-01 16:31:00
"AA","ABE","arr",0,1970-01-01 17:01:00
"AA","ABE","arr",0,1970-01-01 17:31:00
"AA","ABE","arr",0,1970-01-01 18:01:00
"AA","ABE","arr",0,1970-01-01 18:31:00
"AA","ABE","arr",0,1970-01-01 19:01:00
"AA","ABE","arr",0,1970-01-01 19:31:00
"AA","ABE","arr",0,1970-01-01 20:01:00
"AA","ABE","arr",0,1970-01-01 20:31:00
"AA","ABE","arr",0,1970-01-01 21:01:00
"AA","ABE","arr",0,1970-01-01 21:31:00
"AA","ABE","arr",0,1970-01-01 22:01:00
"AA","ABE","arr",0,1970-01-01 22:31:00
"AA","ABE","arr",0,1970-01-01 23:01:00
"AA","ABE","arr",0,1970-01-01 23:31:00
"AA","ABE","dep",0,1970-01-01 00:01:00
"AA","ABE","dep",0,1970-01-01 00:31:00
"AA","ABE","dep",0,1970-01-01 01:01:00
"AA","ABE","dep",0,1970-01-01 01:31:00
"AA","ABE","dep",0,1970-01-01 02:01:00
"AA","ABE","dep",0,1970-01-01 02:31:00
"AA","ABE","dep",0,1970-01-01 03:01:00
"AA","ABE","dep",0,1970-01-01 03:31:00
"AA","ABE","dep",0,1970-01-01 04:01:00
"AA","ABE","dep",0,1970-01-01 04:31:00
"AA","ABE","dep",0,1970-01-01 05:01:00
"AA","ABE","dep",0,1970-01-01 05:31:00
"AA","ABE","dep",0,1970-01-01 06:01:00
"AA","ABE","dep",0,1970-01-01 06:31:00
"AA","ABE","dep",0,1970-01-01 07:01:00
"AA","ABE","dep",0,1970-01-01 07:31:00
"AA","ABE","dep",0,1970-01-01 08:01:00
"AA","ABE","dep",0,1970-01-01 08:31:00
"AA","ABE","dep",0,1970-01-01 09:01:00
"AA","ABE","dep",0,1970-01-01 09:31:00
"AA","ABE","dep",0,1970-01-01 10:01:00
"AA","ABE","dep",0,1970-01-01 10:31:00
"AA","ABE","dep",0,1970-01-01 11:01:00
"AA","ABE","dep",0,1970-01-01 11:31:00
"AA","ABE","dep",0,1970-01-01 12:01:00
"AA","ABE","dep",0,1970-01-01 12:31:00
"AA","ABE","dep",0,1970-01-01 13:01:00
"AA","ABE","dep",0,1970-01-01 13:31:00
"AA","ABE","dep",0,1970-01-01 14:01:00
"AA","ABE","dep",0,1970-01-01 14:31:00
"AA","ABE","dep",0,1970-01-01 15:01:00
"AA","ABE","dep",0,1970-01-01 15:31:00
"AA","ABE","dep",0,1970-01-01 16:01:00
"AA","ABE","dep",0,1970-01-01 16:31:00
"AA","ABE","dep",0,1970-01-01 17:01:00
"AA","ABE","dep",0,1970-01-01 17:31:00
"AA","ABE","dep",0,1970-01-01 18:01:00
"AA","ABE","dep",0,1970-01-01 18:31:00
"AA","ABE","dep",0,1970-01-01 19:01:00
"AA","ABE","dep",0,1970-01-01 19:31:00
"AA","ABE","dep",0,1970-01-01 20:01:00
"AA","ABE","dep",0,1970-01-01 20:31:00
"AA","ABE","dep",0,1970-01-01 21:01:00
"AA","ABE","dep",0,1970-01-01 21:31:00
"AA","ABE","dep",0,1970-01-01 22:01:00
"AA","ABE","dep",0,1970-01-01 22:31:00
"AA","ABE","dep",0,1970-01-01 23:01:00
"AA","ABE","dep",0,1970-01-01 23:31:00
"AA","ABQ","arr",16.0136678986993,1970-01-01 00:01:00
"AA","ABQ","arr",11.9561366739051,1970-01-01 00:31:00
"AA","ABQ","arr",4.04098314906305,1970-01-01 01:01:00
"AA","ABQ","arr",2.00469603396613,1970-01-01 01:31:00
"AA","ABQ","arr",2.9704083499439,1970-01-01 02:01:00
"AA","ABQ","arr",1.0169450942562,1970-01-01 02:31:00
"AA","ABQ","arr",-0.000914171405898689,1970-01-01 03:01:00
"AA","ABQ","arr",-0.00242856623754637,1970-01-01 03:31:00
"AA","ABQ","arr",0.000700334503812876,1970-01-01 04:01:00
"AA","ABQ","arr",-0.000549294408403894,1970-01-01 04:31:00
"AA","ABQ","arr",0.0017258504991225,1970-01-01 05:01:00
"AA","ABQ","arr",-0.00695912413349239,1970-01-01 05:31:00
"AA","ABQ","arr",0.0177274164249749,1970-01-01 06:01:00
"AA","ABQ","arr",0.972761459467492,1970-01-01 06:31:00
"AA","ABQ","arr",0.03673106859602,1970-01-01 07:01:00
"AA","ABQ","arr",-0.0909850941162411,1970-01-01 07:31:00
"AA","ABQ","arr",0.353953157388798,1970-01-01 08:01:00
"AA","ABQ","arr",-1.44580275724129,1970-01-01 08:31:00
"AA","ABQ","arr",3.44291954779509,1970-01-01 09:01:00
"AA","ABQ","arr",225.730608990103,1970-01-01 09:31:00
"AA","ABQ","arr",60.6757502859876,1970-01-01 10:01:00
"AA","ABQ","arr",12.2582667652744,1970-01-01 10:31:00
"AA","ABQ","arr",8.04814220504739,1970-01-01 11:01:00
"AA","ABQ","arr",0.991552540665606,1970-01-01 11:31:00
"AA","ABQ","arr",0.125058786787431,1970-01-01 12:01:00
"AA","ABQ","arr",0.457901349298848,1970-01-01 12:31:00
"AA","ABQ","arr",1.91318110793344,1970-01-01 13:01:00
"AA","ABQ","arr",118.876396435083,1970-01-01 13:31:00
"AA","ABQ","arr",163.837953534706,1970-01-01 14:01:00
"AA","ABQ","arr",24.28536054987,1970-01-01 14:31:00
"AA","ABQ","arr",40.8887753828912,1970-01-01 15:01:00
"AA","ABQ","arr",265.155570794948,1970-01-01 15:31:00
"AA","ABQ","arr",40.5992784805734,1970-01-01 16:01:00
"AA","ABQ","arr",14.5768217785197,1970-01-01 16:31:00
"AA","ABQ","arr",11.4500414706467,1970-01-01 17:01:00
"AA","ABQ","arr",22.7970522903308,1970-01-01 17:31:00
"AA","ABQ","arr",22.1222138883343,1970-01-01 18:01:00
"AA","ABQ","arr",7.2983238818663,1970-01-01 18:31:00
"AA","ABQ","arr",17.9154828246738,1970-01-01 19:01:00
"AA","ABQ","arr",171.854239340069,1970-01-01 19:31:00
"AA","ABQ","arr",99.8598713537766,1970-01-01 20:01:00
"AA","ABQ","arr",20.1048017508905,1970-01-01 20:31:00
"AA","ABQ","arr",8.88802856284224,1970-01-01 21:01:00
"AA","ABQ","arr",24.8572750453403,1970-01-01 21:31:00
"AA","ABQ","arr",75.7153092811166,1970-01-01 22:01:00
"AA","ABQ","arr",166.072238531665,1970-01-01 22:31:00
"AA","ABQ","arr",119.344819070153,1970-01-01 23:01:00
"AA","ABQ","arr",27.0179666936412,1970-01-01 23:31:00
"AA","ABQ","dep",3.57301219894814e-05,1970-01-01 00:01:00
"AA","ABQ","dep",-0.000229852393790026,1970-01-01 00:31:00
"AA","ABQ","dep",0.00101719709878674,1970-01-01 01:01:00
"AA","ABQ","dep",-0.00426851683225088,1970-01-01 01:31:00
"AA","ABQ","dep",0.0178574433500396,1970-01-01 02:01:00
"AA","ABQ","dep",-0.0746895856462799,1970-01-01 02:31:00
"AA","ABQ","dep",0.312113918993637,1970-01-01 03:01:00
"AA","ABQ","dep",-1.27935079054811,1970-01-01 03:31:00
"AA","ABQ","dep",2.94510390563918,1970-01-01 04:01:00
"AA","ABQ","dep",209.651127775535,1970-01-01 04:31:00
"AA","ABQ","dep",91.7174037435111,1970-01-01 05:01:00
"AA","ABQ","dep",5.48169517879144,1970-01-01 05:31:00
"AA","ABQ","dep",2.85593031808901,1970-01-01 06:01:00
"AA","ABQ","dep",86.022766272884,1970-01-01 06:31:00
"AA","ABQ","dep",61.9609863641147,1970-01-01 07:01:00
"AA","ABQ","dep",50.1953242419377,1970-01-01 07:31:00
"AA","ABQ","dep",164.050845501308,1970-01-01 08:01:00
"AA","ABQ","dep",133.442326679877,1970-01-01 08:31:00
"AA","ABQ","dep",7.53710292688781,1970-01-01 09:01:00
"AA","ABQ","dep",1.60136135688974,1970-01-01 09:31:00
"AA","ABQ","dep",7.59568059021343,1970-01-01 10:01:00
"AA","ABQ","dep",268.988669699836,1970-01-01 10:31:00
"AA","ABQ","dep",19.4319326295142,1970-01-01 11:01:00
"AA","ABQ","dep",12.1281624908524,1970-01-01 11:31:00
"AA","ABQ","dep",3.57060176457249,1970-01-01 12:01:00
"AA","ABQ","dep",2.74365870317271,1970-01-01 12:31:00
"AA","ABQ","dep",2.4059394116586,1970-01-01 13:01:00
"AA","ABQ","dep",0.545794733738337,1970-01-01 13:31:00
"AA","ABQ","dep",3.39604414993628,1970-01-01 14:01:00
"AA","ABQ","dep",221.846958063187,1970-01-01 14:31:00
"AA","ABQ","dep",59.404714543896,1970-01-01 15:01:00
"AA","ABQ","dep",13.3044033929474,1970-01-01 15:31:00
"AA","ABQ","dep",97.5083737482369,1970-01-01 16:01:00
"AA","ABQ","dep",212.96760044655,1970-01-01 16:31:00
"AA","ABQ","dep",26.6405278693139,1970-01-01 17:01:00
"AA","ABQ","dep",12.8072390121572,1970-01-01 17:31:00
"AA","ABQ","dep",4.42366778097654,1970-01-01 18:01:00
"AA","ABQ","dep",7.77131294967686,1970-01-01 18:31:00
"AA","ABQ","dep",1.10302352595068,1970-01-01 19:01:00
"AA","ABQ","dep",2.0264758973208,1970-01-01 19:31:00
"AA","ABQ","dep",6.88923027214741,1970-01-01 20:01:00
"AA","ABQ","dep",2.12257372390161,1970-01-01 20:31:00
"AA","ABQ","dep",3.90036326601894,1970-01-01 21:01:00
"AA","ABQ","dep",0.0634530781265005,1970-01-01 21:31:00
"AA","ABQ","dep",-0.0259611522203165,1970-01-01 22:01:00
"AA","ABQ","dep",0.00630367770377761,1970-01-01 22:31:00
"AA","ABQ","dep",-0.0014257288678543,1970-01-01 23:01:00
"AA","ABQ","dep",0.000221649873585976,1970-01-01 23:31:00
"AA","AGS","arr",0,1970-01-01 00:01:00
"AA","AGS","arr",0,1970-01-01 00:31:00
"AA","AGS","arr",0,1970-01-01 01:01:00
"AA","AGS","arr",0,1970-01-01 01:31:00
"AA","AGS","arr",0,1970-01-01 02:01:00
"AA","AGS","arr",0,1970-01-01 02:31:00
"AA","AGS","arr",0,1970-01-01 03:01:00
"AA","AGS","arr",0,1970-01-01 03:31:00
"AA","AGS","arr",0,1970-01-01 04:01:00
"AA","AGS","arr",0,1970-01-01 04:31:00
"AA","AGS","arr",0,1970-01-01 05:01:00
"AA","AGS","arr",0,1970-01-01 05:31:00
"AA","AGS","arr",0,1970-01-01 06:01:00
"AA","AGS","arr",0,1970-01-01 06:31:00
"AA","AGS","arr",0,1970-01-01 07:01:00
"AA","AGS","arr",0,1970-01-01 07:31:00
"AA","AGS","arr",0,1970-01-01 08:01:00
"AA","AGS","arr",0,1970-01-01 08:31:00
"AA","AGS","arr",0,1970-01-01 09:01:00
"AA","AGS","arr",0,1970-01-01 09:31:00
"AA","AGS","arr",0,1970-01-01 10:01:00
"AA","AGS","arr",0,1970-01-01 10:31:00
"AA","AGS","arr",0,1970-01-01 11:01:00
"AA","AGS","arr",0,1970-01-01 11:31:00
"AA","AGS","arr",0,1970-01-01 12:01:00
"AA","AGS","arr",0,1970-01-01 12:31:00
"AA","AGS","arr",0,1970-01-01 13:01:00
"AA","AGS","arr",0,1970-01-01 13:31:00
"AA","AGS","arr",0,1970-01-01 14:01:00
"AA","AGS","arr",0,1970-01-01 14:31:00
"AA","AGS","arr",0,1970-01-01 15:01:00
"AA","AGS","arr",0,1970-01-01 15:31:00
"AA","AGS","arr",0,1970-01-01 16:01:00
"AA","AGS","arr",0,1970-01-01 16:31:00
"AA","AGS","arr",0,1970-01-01 17:01:00
"AA","AGS","arr",0,1970-01-01 17:31:00
"AA","AGS","arr",0,1970-01-01 18:01:00
"AA","AGS","arr",0,1970-01-01 18:31:00
"AA","AGS","arr",0,1970-01-01 19:01:00
"AA","AGS","arr",0,1970-01-01 19:31:00
"AA","AGS","arr",0,1970-01-01 20:01:00
"AA","AGS","arr",0,1970-01-01 20:31:00
"AA","AGS","arr",0,1970-01-01 21:01:00
"AA","AGS","arr",0,1970-01-01 21:31:00
"AA","AGS","arr",0,1970-01-01 22:01:00
"AA","AGS","arr",0,1970-01-01 22:31:00
"AA","AGS","arr",0,1970-01-01 23:01:00
"AA","AGS","arr",0,1970-01-01 23:31:00
"AA","AGS","dep",0,1970-01-01 00:01:00
"AA","AGS","dep",0,1970-01-01 00:31:00
"AA","AGS","dep",0,1970-01-01 01:01:00
"AA","AGS","dep",0,1970-01-01 01:31:00
"AA","AGS","dep",0,1970-01-01 02:01:00
"AA","AGS","dep",0,1970-01-01 02:31:00
"AA","AGS","dep",0,1970-01-01 03:01:00
"AA","AGS","dep",0,1970-01-01 03:31:00
"AA","AGS","dep",0,1970-01-01 04:01:00
"AA","AGS","dep",0,1970-01-01 04:31:00
"AA","AGS","dep",0,1970-01-01 05:01:00
"AA","AGS","dep",0,1970-01-01 05:31:00
"AA","AGS","dep",0,1970-01-01 06:01:00
"AA","AGS","dep",0,1970-01-01 06:31:00
"AA","AGS","dep",0,1970-01-01 07:01:00
"AA","AGS","dep",0,1970-01-01 07:31:00
"AA","AGS","dep",0,1970-01-01 08:01:00
"AA","AGS","dep",0,1970-01-01 08:31:00
"AA","AGS","dep",0,1970-01-01 09:01:00
"AA","AGS","dep",0,1970-01-01 09:31:00
"AA","AGS","dep",0,1970-01-01 10:01:00
"AA","AGS","dep",0,1970-01-01 10:31:00
"AA","AGS","dep",0,1970-01-01 11:01:00
"AA","AGS","dep",0,1970-01-01 11:31:00
"AA","AGS","dep",0,1970-01-01 12:01:00
"AA","AGS","dep",0,1970-01-01 12:31:00
"AA","AGS","dep",0,1970-01-01 13:01:00
"AA","AGS","dep",0,1970-01-01 13:31:00
"AA","AGS","dep",0,1970-01-01 14:01:00
"AA","AGS","dep",0,1970-01-01 14:31:00
"AA","AGS","dep",0,1970-01-01 15:01:00
"AA","AGS","dep",0,1970-01-01 15:31:00
"AA","AGS","dep",0,1970-01-01 16:01:00
"AA","AGS","dep",0,1970-01-01 16:31:00
"AA","AGS","dep",0,1970-01-01 17:01:00
"AA","AGS","dep",0,1970-01-01 17:31:00
"AA","AGS","dep",0,1970-01-01 18:01:00
"AA","AGS","dep",0,1970-01-01 18:31:00
"AA","AGS","dep",0,1970-01-01 19:01:00
"AA","AGS","dep",0,1970-01-01 19:31:00
"AA","AGS","dep",0,1970-01-01 20:01:00
"AA","AGS","dep",0,1970-01-01 20:31:00
"AA","AGS","dep",0,1970-01-01 21:01:00
"AA","AGS","dep",0,1970-01-01 21:31:00
"AA","AGS","dep",0,1970-01-01 22:01:00
"AA","AGS","dep",0,1970-01-01 22:31:00
"AA","AGS","dep",0,1970-01-01 23:01:00
"AA","AGS","dep",0,1970-01-01 23:31:00
"AA","ALB","arr",94.8557701461353,1970-01-01 00:01:00
"AA","ALB","arr",20.2793327236662,1970-01-01 00:31:00
"AA","ALB","arr",4.89161600201674,1970-01-01 01:01:00
"AA","ALB","arr",5.94338687114933,1970-01-01 01:31:00
"AA","ALB","arr",2.04587343344972,1970-01-01 02:01:00
"AA","ALB","arr",0.976865599336613,1970-01-01 02:31:00
"AA","ALB","arr",0.0114934704248452,1970-01-01 03:01:00
"AA","ALB","arr",-0.00540395451455981,1970-01-01 03:31:00
"AA","ALB","arr",0.00132081313808207,1970-01-01 04:01:00
"AA","ALB","arr",-0.000316099440300208,1970-01-01 04:31:00
"AA","ALB","arr",7.55788031333696e-05,1970-01-01 05:01:00
"AA","ALB","arr",-1.80780813088958e-05,1970-01-01 05:31:00
"AA","ALB","arr",4.3595845749015e-06,1970-01-01 06:01:00
"AA","ALB","arr",-1.1997812455407e-06,1970-01-01 06:31:00
"AA","ALB","arr",9.45985595617817e-07,1970-01-01 07:01:00
"AA","ALB","arr",-2.98365945254886e-06,1970-01-01 07:31:00
"AA","ALB","arr",1.22484105470015e-05,1970-01-01 08:01:00
"AA","ALB","arr",-5.11799437628355e-05,1970-01-01 08:31:00
"AA","ALB","arr",0.000214068017443106,1970-01-01 09:01:00
"AA","ALB","arr",-0.000895375053909147,1970-01-01 09:31:00
"AA","ALB","arr",0.00374246606791846,1970-01-01 10:01:00
"AA","ALB","arr",-0.0154100936209632,1970-01-01 10:31:00
"AA","ALB","arr",0.042006823928323,1970-01-01 11:01:00
"AA","ALB","arr",1.89540033960829,1970-01-01 11:31:00
"AA","ALB","arr",2.37751787276469,1970-01-01 12:01:00
"AA","ALB","arr",-1.66423440363718,1970-01-01 12:31:00
"AA","ALB","arr",12.213946687899,1970-01-01 13:01:00
"AA","ALB","arr",276.467668096293,1970-01-01 13:31:00
"AA","ALB","arr",45.7718706125872,1970-01-01 14:01:00
"AA","ALB","arr",5.74053781258262,1970-01-01 14:31:00
"AA","ALB","arr",2.04842838558319,1970-01-01 15:01:00
"AA","ALB","arr",4.50633484840446,1970-01-01 15:31:00
"AA","ALB","arr",39.1965040531124,1970-01-01 16:01:00
"AA","ALB","arr",3.67332604271623,1970-01-01 16:31:00
"AA","ALB","arr",1.31874877625769,1970-01-01 17:01:00
"AA","ALB","arr",12.9976072172791,1970-01-01 17:31:00
"AA","ALB","arr",126.545069838288,1970-01-01 18:01:00
"AA","ALB","arr",141.168620758122,1970-01-01 18:31:00
"AA","ALB","arr",23.1310472560294,1970-01-01 19:01:00
"AA","ALB","arr",6.49310582581645,1970-01-01 19:31:00
"AA","ALB","arr",3.12769826292227,1970-01-01 20:01:00
"AA","ALB","arr",2.94313297012361,1970-01-01 20:31:00
"AA","ALB","arr",1.02596266391565,1970-01-01 21:01:00
"AA","ALB","arr",-0.0356662002523743,1970-01-01 21:31:00
"AA","ALB","arr",1.17496534646141,1970-01-01 22:01:00
"AA","ALB","arr",0.251319969928334,1970-01-01 22:31:00
"AA","ALB","arr",1.08130783474866,1970-01-01 23:01:00
"AA","ALB","arr",183.520162546427,1970-01-01 23:31:00
"AA","ALB","dep",0.997408752433916,1970-01-01 00:01:00
"AA","ALB","dep",0.00582965741298393,1970-01-01 00:31:00
"AA","ALB","dep",-0.00403863668069936,1970-01-01 01:01:00
"AA","ALB","dep",0.00098165411009861,1970-01-01 01:31:00
