State,City,FAA,IATA,ICAO,Airport,Role,Enplanements_2019
Alabama,Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,1081328
Alabama,Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,37047
Alabama,Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,459759
Alabama,Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,236007
Alabama,Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,129033
Alaska,Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,22907
Alaska,Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,2184959
Alaska,Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,105877
Alaska,Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,15058
Alaska,Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,64245
Alaska,Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,25988
Alaska,Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,450694
Alaska,Gustavus,GST,GST,PAGS,Gustavus Airport,P-N,10305
Alaska,Homer,HOM,HOM,PAHO,Homer Airport,P-N,30972
Alaska,Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,306512
Alaska,Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,68044
Alaska,Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,117728
Alaska,King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,29914
Alaska,Klawock,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),P-N,14157
Alaska,Kodiak,ADQ,ADQ,PADQ,Kodiak Airport (Benny Benson State Airport),P-N,72905
Alaska,Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,46305
Alaska,Nome,OME,OME,PAOM,Nome Airport,P-N,46645
Alaska,Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,20690
Alaska,Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,80366
Alaska,Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),P-N,19099
Alaska,Utqiaġvik (Barrow),BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,31898
Alaska,Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,12100
Alaska,Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,10899
Arizona,Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,115596
Arizona,Mesa,IWA,AZA,KIWA,Mesa Gateway Airport (formerly Williams AFB),P-S,795407
Arizona,Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,14340
Arizona,Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,18940287
Arizona,Prescott,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,23598
Arizona,Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,1323536
Arizona,Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,110182
Arkansas,Fayetteville,XNA,XNA,KXNA,Northwest Arkansas National Airport,P-S,598787
Arkansas,Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,45369
