"CARRIER","Count","Year"
"AA",63823026,1996
"DL",93101722,1996
"UA",71386979,1996
"WN",64079907,1996
"AA",65118361,1997
"DL",99265990,1997
"UA",73069159,1997
"WN",64899236,1997
"AA",64980191,1998
"DL",101013003,1998
"UA",76554960,1998
"WN",68765236,1998
"AA",64925677,1999
"DL",100963696,1999
"UA",76858603,1999
"WN",75284115,1999
"AA",69431436,2000
"DL",100389816,2000
"UA",73757167,2000
"WN",82170284,2000
"AA",62661131,2001
"DL",88928779,2001
"UA",65259307,2001
"WN",82234829,2001
"AA",78560578,2002
"DL",85119905,2002
"UA",59012253,2002
"WN",80353437,2002
"AA",73131894,2003
"DL",78731507,2003
"UA",57294566,2003
"WN",81996883,2003
"AA",73387871,2004
"DL",80335553,2004
"UA",60994159,2004
"WN",88858521,2004
"AA",78104016,2005
"DL",78273738,2005
"UA",56117634,2005
"WN",95786107,2005
"AA",77718247,2006
"DL",64060841,2006
"UA",58245226,2006
"WN",103980247,2006
"AA",77654888,2007
"DL",62240431,2007
"UA",57318868,2007
"WN",110587936,2007
"AA",72410811,2008
"DL",59998788,2008
"UA",52373086,2008
"WN",110928250,2008
"AA",66908391,2009
"DL",56293849,2009
"UA",46271658,2009
"WN",109680382,2009
"AA",66542740,2010
"DL",91012889,2010
"UA",44064471,2010
"WN",114256083,2010
"AA",66080892,2011
"DL",93397690,2011
"UA",40233842,2011
"WN",119467418,2011
"AA",65694310,2012
"DL",96145080,2012
"UA",68393403,2012
"WN",119959277,2012
"AA",65547434,2013
"DL",99045111,2013
"UA",65787923,2013
"WN",122378007,2013
"AA",66744657,2014
"DL",106855120,2014
"UA",65320749,2014
"WN",133418536,2014
"AA",94086042,2015
"DL",115567285,2015
"UA",69811835,2015
"WN",147830237,2015
"AA",117639678,2016
"DL",119675336,2016
"UA",74367648,2016
"WN",153348677,2016
"AA",117307318,2017
"DL",121442853,2017
"UA",80962675,2017
"WN",158624196,2017
"AA",119884086,2018
"DL",127100868,2018
"UA",86404244,2018
"WN",163382690,2018
"AA",126400660,2019
"DL",136758885,2019
"UA",87996525,2019
"WN",162536902,2019
"AA",56770201,2020
"DL",48449074,2020
"UA",30112123,2020
"WN",70371140,2020
"AA",99505898,2021
"DL",92792000,2021
"UA",59054804,2021
"WN",124504045,2021
"AA",120919337,2022
"DL",122703334,2022
"UA",87728891,2022
"WN",158056332,2022
"AA",131299831,2023
"DL",137180591,2023
"UA",103287859,2023
"WN",172188646,2023
"AA",137945071,2024
"DL",141571975,2024
"UA",106381371,2024
"WN",173205011,2024
