airline,airport,type,period_mins,amplitude
AA,ABE,Departure,1440,0
AA,ABE,Departure,720,0
AA,ABE,Departure,480,0
AA,ABE,Departure,360,0
AA,ABE,Departure,288,0
AA,ABE,Departure,240,0
AA,ABE,Departure,205.71428571428572,0
AA,ABE,Departure,180,0
AA,ABE,Departure,160,0
AA,ABE,Departure,144,0
AA,ABE,Departure,130.9090909090909,0
AA,ABE,Departure,120,0
AA,ABE,Departure,110.76923076923077,0
AA,ABE,Departure,102.85714285714286,0
AA,ABE,Departure,96,0
AA,ABE,Departure,90,0
AA,ABE,Departure,84.70588235294117,0
AA,ABE,Departure,80,0
AA,ABE,Departure,75.78947368421052,0
AA,ABE,Departure,72,0
AA,ABE,Departure,68.57142857142857,0
AA,ABE,Departure,65.45454545454545,0
AA,ABE,Departure,62.60869565217392,0
AA,ABE,Departure,60,0
AA,ABE,Departure,57.599999999999994,0
AA,ABE,Departure,55.38461538461539,0
AA,ABE,Departure,53.333333333333336,0
AA,ABE,Departure,51.42857142857143,0
AA,ABE,Departure,49.6551724137931,0
AA,ABE,Departure,48,0
AA,ABE,Departure,46.45161290322581,0
AA,ABE,Departure,45,0
AA,ABE,Departure,43.63636363636364,0
AA,ABE,Departure,42.35294117647059,0
AA,ABE,Departure,41.14285714285714,0
AA,ABE,Departure,40,0
AA,ABE,Departure,38.91891891891892,0
AA,ABE,Departure,37.89473684210526,0
AA,ABE,Departure,36.92307692307692,0
AA,ABE,Departure,36,0
AA,ABE,Departure,35.1219512195122,0
AA,ABE,Departure,34.285714285714285,0
AA,ABE,Departure,33.48837209302325,0
AA,ABE,Departure,32.72727272727273,0
AA,ABE,Departure,32,0
AA,ABE,Departure,31.30434782608696,0
AA,ABE,Departure,30.638297872340424,0
AA,ABE,Departure,30,0
AA,ABE,Departure,29.38775510204082,0
AA,ABE,Departure,28.799999999999997,0
AA,ABE,Departure,28.235294117647058,0
AA,ABE,Departure,27.692307692307693,0
AA,ABE,Departure,27.169811320754715,0
AA,ABE,Departure,26.666666666666668,0
AA,ABE,Departure,26.18181818181818,0
AA,ABE,Departure,25.714285714285715,0
AA,ABE,Departure,25.263157894736842,0
AA,ABE,Departure,24.82758620689655,0
AA,ABE,Departure,24.406779661016948,0
AA,ABE,Departure,24,0
AA,ABE,Departure,23.606557377049178,0
AA,ABE,Departure,23.225806451612904,0
AA,ABE,Departure,22.857142857142858,0
AA,ABE,Departure,22.5,0
AA,ABE,Departure,22.153846153846153,0
AA,ABE,Departure,21.81818181818182,0
AA,ABE,Departure,21.492537313432834,0
AA,ABE,Departure,21.176470588235293,0
AA,ABE,Departure,20.869565217391305,0
AA,ABE,Departure,20.57142857142857,0
AA,ABE,Departure,20.281690140845072,0
AA,ABE,Arrival,1440,0
AA,ABE,Arrival,720,0
AA,ABE,Arrival,480,0
AA,ABE,Arrival,360,0
AA,ABE,Arrival,288,0
AA,ABE,Arrival,240,0
AA,ABE,Arrival,205.71428571428572,0
AA,ABE,Arrival,180,0
AA,ABE,Arrival,160,0
AA,ABE,Arrival,144,0
AA,ABE,Arrival,130.9090909090909,0
AA,ABE,Arrival,120,0
AA,ABE,Arrival,110.76923076923077,0
AA,ABE,Arrival,102.85714285714286,0
AA,ABE,Arrival,96,0
AA,ABE,Arrival,90,0
AA,ABE,Arrival,84.70588235294117,0
AA,ABE,Arrival,80,0
AA,ABE,Arrival,75.78947368421052,0
AA,ABE,Arrival,72,0
AA,ABE,Arrival,68.57142857142857,0
AA,ABE,Arrival,65.45454545454545,0
AA,ABE,Arrival,62.60869565217392,0
AA,ABE,Arrival,60,0
AA,ABE,Arrival,57.599999999999994,0
AA,ABE,Arrival,55.38461538461539,0
AA,ABE,Arrival,53.333333333333336,0
