"","airline","origin","passenger_count","quartile","arr","dep"
"1","AA","MFE",82094,1,-3799.0163754578,-8170.44005383013
"2","AA","SYR",79753,1,-3625.48337081914,-7436.76505783733
"3","AA","DAY",72324,1,-4492.99510272978,-6001.59678094464
"4","AA","JAC",64008,1,-1581.51755366098,-2437.61227699932
"5","AA","CVG",63718,1,-3310.58639104475,-4454.92653263778
"6","AA","RIC",271104,2,-17910.4913376605,-24046.7943034794
"7","AA","CLE",259934,2,-16701.3122786855,-26597.2585607055
"8","AA","RNO",259377,2,-15021.1665727049,-30672.9192208119
"9","AA","PVD",257974,2,-15059.1839517107,-42238.6028594809
"10","AA","ABQ",236979,2,-12838.2050056453,-25856.6888098212
"11","AA","STL",809001,3,-34391.5899337752,-113336.670898481
"12","AA","MSY",797083,3,-29293.2613059529,-62262.9180179193
"13","AA","IAH",787977,3,-40838.6163215119,-79285.7371532557
"14","AA","SAT",785652,3,-43355.5088035327,-69485.9599124895
"15","AA","BWI",739793,3,-42114.9462034672,-87386.837643141
"16","AA","DFW",19122378,4,-824731.583504334,-1344099.08776368
"17","AA","CLT",12579738,4,-714336.924435336,-1093644.46051233
"18","AA","ORD",8673506,4,-308844.134294362,-614326.029315647
"19","AA","PHX",7667636,4,-264527.515940239,-450232.251568971
"20","AA","MIA",7006477,4,-152843.713664556,-399205.539486056
"21","DL","AVL",55864,1,-2394.97716810897,-2773.46806808512
"22","DL","FAI",55458,1,-1014.52078866309,-1137.27488395901
"23","DL","FCA",50454,1,-1352.33943811029,-1624.99115946579
"24","DL","FAY",48794,1,-1249.08262865704,-4368.21402635602
"25","DL","COS",48750,1,-357.954731793227,-2034.42053172997
"26","DL","HOU",186053,2,-10920.747733299,-17456.1097857202
"27","DL","SYR",180200,2,-12651.2953213339,-11637.7007570602
"28","DL","ROC",172026,2,-11736.9624039396,-13238.9812606788
"29","DL","ALB",170685,2,-7401.56349046473,-15287.5834879569
"30","DL","BZN",169781,2,-7303.93632643247,-11432.4662014098
"31","DL","MEM",545341,3,-27966.1422758573,-33168.7702022735
"32","DL","BDL",531307,3,-19908.8908209409,-29530.3267284971
"33","DL","SAT",503074,3,-17666.6534241974,-32661.738285943
"34","DL","SNA",471745,3,-20913.4748817954,-56492.6814966317
"35","DL","CHS",470563,3,-26483.5903031982,-34724.0764399093
"36","DL","ATL",32330835,4,-586566.301710894,-1153734.12123376
"37","DL","MSP",8921254,4,-320984.313947894,-625412.930022808
"38","DL","DTW",7223633,4,-471076.524189638,-648269.611734832
"39","DL","SLC",5781464,4,-408252.857778845,-636129.254012218
"40","DL","LAX",4796599,4,-68017.6625512278,-97722.8308553731
"41","UA","STL",52378,1,-1170.74543419749,-1957.52616118173
"42","UA","OKC",52330,1,-2414.49298795774,-2592.88167140806
"43","UA","FSD",50193,1,-2540.59509783031,-3196.33193548974
"44","UA","CID",48218,1,-2152.38622991248,-2184.36855239354
"45","UA","TUS",47276,1,-1081.93660014429,-1649.1135127428
"46","UA","DSM",122388,2,-5273.82057914463,-6361.6095985452
"47","UA","MKE",117115,2,-3540.60244118599,-6646.9594342801
"48","UA","CMH",115570,2,-4019.97064621696,-7085.50515494585
"49","UA","PSP",114633,2,-3647.53822920703,-6760.7364318609
"50","UA","JAC",114027,2,-4276.60793502928,-7555.60161716742
"51","UA","MSP",499582,3,-28953.870734184,-34516.2605103341
"52","UA","BWI",432829,3,-13765.7368907544,-25151.0716523162
"53","UA","SMF",396081,3,-14150.5003427749,-24618.5936935514
"54","UA","RDU",386694,3,-14206.262080405,-25532.502041121
"55","UA","OGG",381528,3,-6599.3784371189,-9338.85938676819
"56","UA","ORD",10380444,4,-447416.525508542,-611913.527630182
"57","UA","DEN",8707916,4,-522375.567726569,-754292.452378208
"58","UA","SFO",8446273,4,-127885.229453346,-270676.578061322
"59","UA","IAH",7738335,4,-252618.198382773,-370999.754528245
"60","UA","EWR",7646320,4,-60192.8807559076,-84113.2564823555
"61","WN","CLT",294618,1,-12650.691122256,-17420.7759890866
"62","WN","MAF",289159,1,-9894.30046834746,-16973.7921717591
"63","WN","IAD",285170,1,-5821.78804371038,-10688.3758853421
"64","WN","LIT",273286,1,-9466.04269540075,-18563.9975783921
"65","WN","GRR",253213,1,-8268.72749407581,-8498.34563058321
"66","WN","BDL",806437,2,-16175.8745276216,-18317.515873245
"67","WN","OMA",805378,2,-10848.9940939538,-16609.4267720523
"68","WN","BUF",782711,2,-18868.6283616337,-18362.0838918202
"69","WN","EWR",777000,2,-11637.9128172368,-17539.4680368897
"70","WN","CLE",736783,2,-25045.1759801915,-19455.6695518754
"71","WN","SAT",1854601,3,-27726.7901208375,-35346.8818067349
"72","WN","SFO",1838188,3,-21520.2728697418,-43535.0194546141
"73","WN","BUR",1824559,3,-38649.240375804,-145659.898643991
"74","WN","DCA",1756480,3,-47965.7245471997,-235815.228178568
"75","WN","PDX",1696327,3,-20795.4374120222,-26982.7277528063
"76","WN","MDW",10304429,4,-113691.959743909,-194881.301998193
"77","WN","LAS",9073388,4,-45329.5413222684,-44590.6350548711
"78","WN","DEN",9066751,4,-188736.821624809,-193271.569461387
"79","WN","BWI",8911299,4,-134529.909321433,-341419.312364365
"80","WN","PHX",7502990,4,-109177.060349197,-146499.886834879
