year,airline,airport,type,block,n,airline_airport
1,AA,CLT,arr,1970-01-01T00:01:00Z,-14,AA/ CLT
1,AA,CLT,arr,1970-01-01T00:11:00Z,-8,AA/ CLT
1,AA,CLT,arr,1970-01-01T00:21:00Z,-10,AA/ CLT
1,AA,CLT,arr,1970-01-01T00:31:00Z,-3,AA/ CLT
1,AA,CLT,arr,1970-01-01T00:41:00Z,-12,AA/ CLT
1,AA,CLT,arr,1970-01-01T00:51:00Z,-7,AA/ CLT
1,AA,CLT,arr,1970-01-01T01:01:00Z,-5,AA/ CLT
1,AA,CLT,arr,1970-01-01T01:11:00Z,-5,AA/ CLT
1,AA,CLT,arr,1970-01-01T01:21:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T01:31:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T01:41:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T01:51:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T02:01:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T02:11:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T02:41:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T02:51:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T03:31:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T04:01:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T11:11:00Z,-21,AA/ CLT
1,AA,CLT,arr,1970-01-01T11:21:00Z,-62,AA/ CLT
1,AA,CLT,arr,1970-01-01T11:31:00Z,-97,AA/ CLT
1,AA,CLT,arr,1970-01-01T11:41:00Z,-85,AA/ CLT
1,AA,CLT,arr,1970-01-01T11:51:00Z,-63,AA/ CLT
1,AA,CLT,arr,1970-01-01T12:01:00Z,-9,AA/ CLT
1,AA,CLT,arr,1970-01-01T12:11:00Z,-10,AA/ CLT
1,AA,CLT,arr,1970-01-01T12:21:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T12:31:00Z,-4,AA/ CLT
1,AA,CLT,arr,1970-01-01T12:41:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T12:51:00Z,-4,AA/ CLT
1,AA,CLT,arr,1970-01-01T13:01:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T13:11:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T13:41:00Z,-4,AA/ CLT
1,AA,CLT,arr,1970-01-01T13:51:00Z,-80,AA/ CLT
1,AA,CLT,arr,1970-01-01T14:01:00Z,-124,AA/ CLT
1,AA,CLT,arr,1970-01-01T14:11:00Z,-63,AA/ CLT
1,AA,CLT,arr,1970-01-01T14:21:00Z,-30,AA/ CLT
1,AA,CLT,arr,1970-01-01T14:31:00Z,-12,AA/ CLT
1,AA,CLT,arr,1970-01-01T14:41:00Z,-13,AA/ CLT
1,AA,CLT,arr,1970-01-01T14:51:00Z,-5,AA/ CLT
1,AA,CLT,arr,1970-01-01T15:01:00Z,-5,AA/ CLT
1,AA,CLT,arr,1970-01-01T15:11:00Z,-4,AA/ CLT
1,AA,CLT,arr,1970-01-01T15:21:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T15:31:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T15:51:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T16:01:00Z,-14,AA/ CLT
1,AA,CLT,arr,1970-01-01T16:11:00Z,-13,AA/ CLT
1,AA,CLT,arr,1970-01-01T16:21:00Z,-4,AA/ CLT
1,AA,CLT,arr,1970-01-01T16:31:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T16:41:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T16:51:00Z,-3,AA/ CLT
1,AA,CLT,arr,1970-01-01T17:01:00Z,-4,AA/ CLT
1,AA,CLT,arr,1970-01-01T17:11:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T17:21:00Z,-3,AA/ CLT
1,AA,CLT,arr,1970-01-01T17:31:00Z,-25,AA/ CLT
1,AA,CLT,arr,1970-01-01T17:41:00Z,-95,AA/ CLT
1,AA,CLT,arr,1970-01-01T17:51:00Z,-87,AA/ CLT
1,AA,CLT,arr,1970-01-01T18:01:00Z,-66,AA/ CLT
1,AA,CLT,arr,1970-01-01T18:11:00Z,-36,AA/ CLT
1,AA,CLT,arr,1970-01-01T18:21:00Z,-9,AA/ CLT
1,AA,CLT,arr,1970-01-01T18:31:00Z,-11,AA/ CLT
1,AA,CLT,arr,1970-01-01T18:41:00Z,-5,AA/ CLT
1,AA,CLT,arr,1970-01-01T18:51:00Z,-4,AA/ CLT
1,AA,CLT,arr,1970-01-01T19:01:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T19:11:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T19:21:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T19:31:00Z,-3,AA/ CLT
1,AA,CLT,arr,1970-01-01T20:01:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T20:11:00Z,-8,AA/ CLT
1,AA,CLT,arr,1970-01-01T20:21:00Z,-29,AA/ CLT
1,AA,CLT,arr,1970-01-01T20:31:00Z,-59,AA/ CLT
1,AA,CLT,arr,1970-01-01T20:41:00Z,-59,AA/ CLT
1,AA,CLT,arr,1970-01-01T20:51:00Z,-53,AA/ CLT
1,AA,CLT,arr,1970-01-01T21:01:00Z,-45,AA/ CLT
1,AA,CLT,arr,1970-01-01T21:11:00Z,-36,AA/ CLT
1,AA,CLT,arr,1970-01-01T21:21:00Z,-19,AA/ CLT
1,AA,CLT,arr,1970-01-01T21:31:00Z,-17,AA/ CLT
1,AA,CLT,arr,1970-01-01T21:41:00Z,-15,AA/ CLT
1,AA,CLT,arr,1970-01-01T21:51:00Z,-9,AA/ CLT
1,AA,CLT,arr,1970-01-01T22:01:00Z,-7,AA/ CLT
1,AA,CLT,arr,1970-01-01T22:11:00Z,-1,AA/ CLT
1,AA,CLT,arr,1970-01-01T22:21:00Z,-3,AA/ CLT
1,AA,CLT,arr,1970-01-01T22:31:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T22:41:00Z,-2,AA/ CLT
1,AA,CLT,arr,1970-01-01T22:51:00Z,-7,AA/ CLT
1,AA,CLT,arr,1970-01-01T23:01:00Z,-18,AA/ CLT
1,AA,CLT,arr,1970-01-01T23:11:00Z,-49,AA/ CLT
1,AA,CLT,arr,1970-01-01T23:21:00Z,-62,AA/ CLT
1,AA,CLT,arr,1970-01-01T23:31:00Z,-74,AA/ CLT
1,AA,CLT,arr,1970-01-01T23:41:00Z,-55,AA/ CLT
1,AA,CLT,arr,1970-01-01T23:51:00Z,-23,AA/ CLT
1,AA,CLT,dep,1970-01-01T05:51:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T06:31:00Z,56,AA/ CLT
1,AA,CLT,dep,1970-01-01T06:41:00Z,49,AA/ CLT
1,AA,CLT,dep,1970-01-01T06:51:00Z,172,AA/ CLT
1,AA,CLT,dep,1970-01-01T07:01:00Z,75,AA/ CLT
1,AA,CLT,dep,1970-01-01T07:11:00Z,5,AA/ CLT
1,AA,CLT,dep,1970-01-01T07:21:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T07:31:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T07:51:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T08:01:00Z,27,AA/ CLT
1,AA,CLT,dep,1970-01-01T08:11:00Z,109,AA/ CLT
1,AA,CLT,dep,1970-01-01T08:21:00Z,182,AA/ CLT
1,AA,CLT,dep,1970-01-01T08:31:00Z,28,AA/ CLT
1,AA,CLT,dep,1970-01-01T08:41:00Z,7,AA/ CLT
1,AA,CLT,dep,1970-01-01T08:51:00Z,2,AA/ CLT
1,AA,CLT,dep,1970-01-01T09:01:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T09:11:00Z,2,AA/ CLT
1,AA,CLT,dep,1970-01-01T09:41:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T09:51:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T11:11:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T11:31:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T12:11:00Z,12,AA/ CLT
1,AA,CLT,dep,1970-01-01T12:21:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T12:41:00Z,5,AA/ CLT
1,AA,CLT,dep,1970-01-01T12:51:00Z,39,AA/ CLT
1,AA,CLT,dep,1970-01-01T13:01:00Z,122,AA/ CLT
1,AA,CLT,dep,1970-01-01T13:11:00Z,136,AA/ CLT
1,AA,CLT,dep,1970-01-01T13:21:00Z,21,AA/ CLT
1,AA,CLT,dep,1970-01-01T13:31:00Z,3,AA/ CLT
1,AA,CLT,dep,1970-01-01T13:41:00Z,6,AA/ CLT
1,AA,CLT,dep,1970-01-01T13:51:00Z,3,AA/ CLT
1,AA,CLT,dep,1970-01-01T14:01:00Z,5,AA/ CLT
1,AA,CLT,dep,1970-01-01T14:11:00Z,2,AA/ CLT
1,AA,CLT,dep,1970-01-01T14:21:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T14:31:00Z,2,AA/ CLT
1,AA,CLT,dep,1970-01-01T14:41:00Z,1,AA/ CLT
1,AA,CLT,dep,1970-01-01T15:31:00Z,35,AA/ CLT
1,AA,CLT,dep,1970-01-01T15:41:00Z,35,AA/ CLT
1,AA,CLT,dep,1970-01-01T15:51:00Z,102,AA/ CLT
1,AA,CLT,dep,1970-01-01T16:01:00Z,14,AA/ CLT
1,AA,CLT,dep,1970-01-01T16:11:00Z,122,AA/ CLT
1,AA,CLT,dep,1970-01-01T16:21:00Z,22,AA/ CLT
