year,airline,airport,type,block,n,airline_airport
1,UA,ORD,arr,1970-01-01T00:01:00Z,-121,UA/ ORD
1,UA,ORD,arr,1970-01-01T00:11:00Z,-135,UA/ ORD
1,UA,ORD,arr,1970-01-01T00:21:00Z,-147,UA/ ORD
1,UA,ORD,arr,1970-01-01T00:31:00Z,-160,UA/ ORD
1,UA,ORD,arr,1970-01-01T00:41:00Z,-110,UA/ ORD
1,UA,ORD,arr,1970-01-01T00:51:00Z,-47,UA/ ORD
1,UA,ORD,arr,1970-01-01T01:01:00Z,-30,UA/ ORD
1,UA,ORD,arr,1970-01-01T01:11:00Z,-20,UA/ ORD
1,UA,ORD,arr,1970-01-01T01:21:00Z,-15,UA/ ORD
1,UA,ORD,arr,1970-01-01T01:31:00Z,-4,UA/ ORD
1,UA,ORD,arr,1970-01-01T01:41:00Z,-6,UA/ ORD
1,UA,ORD,arr,1970-01-01T01:51:00Z,-5,UA/ ORD
1,UA,ORD,arr,1970-01-01T02:01:00Z,-7,UA/ ORD
1,UA,ORD,arr,1970-01-01T02:11:00Z,-2,UA/ ORD
1,UA,ORD,arr,1970-01-01T02:21:00Z,-3,UA/ ORD
1,UA,ORD,arr,1970-01-01T02:31:00Z,-2,UA/ ORD
1,UA,ORD,arr,1970-01-01T02:51:00Z,-2,UA/ ORD
1,UA,ORD,arr,1970-01-01T03:11:00Z,-1,UA/ ORD
1,UA,ORD,arr,1970-01-01T03:21:00Z,-1,UA/ ORD
1,UA,ORD,arr,1970-01-01T03:31:00Z,-5,UA/ ORD
1,UA,ORD,arr,1970-01-01T03:41:00Z,-2,UA/ ORD
1,UA,ORD,arr,1970-01-01T03:51:00Z,-4,UA/ ORD
1,UA,ORD,arr,1970-01-01T04:01:00Z,-3,UA/ ORD
1,UA,ORD,arr,1970-01-01T04:11:00Z,-16,UA/ ORD
1,UA,ORD,arr,1970-01-01T04:21:00Z,-83,UA/ ORD
1,UA,ORD,arr,1970-01-01T04:31:00Z,-224,UA/ ORD
1,UA,ORD,arr,1970-01-01T04:41:00Z,-436,UA/ ORD
1,UA,ORD,arr,1970-01-01T04:51:00Z,-752,UA/ ORD
1,UA,ORD,arr,1970-01-01T05:01:00Z,-1102,UA/ ORD
1,UA,ORD,arr,1970-01-01T05:11:00Z,-805,UA/ ORD
1,UA,ORD,arr,1970-01-01T05:21:00Z,-355,UA/ ORD
1,UA,ORD,arr,1970-01-01T05:31:00Z,-194,UA/ ORD
1,UA,ORD,arr,1970-01-01T05:41:00Z,-100,UA/ ORD
1,UA,ORD,arr,1970-01-01T05:51:00Z,-47,UA/ ORD
1,UA,ORD,arr,1970-01-01T06:01:00Z,-38,UA/ ORD
1,UA,ORD,arr,1970-01-01T06:11:00Z,-26,UA/ ORD
1,UA,ORD,arr,1970-01-01T06:21:00Z,-19,UA/ ORD
1,UA,ORD,arr,1970-01-01T06:31:00Z,-75,UA/ ORD
1,UA,ORD,arr,1970-01-01T06:41:00Z,-326,UA/ ORD
1,UA,ORD,arr,1970-01-01T06:51:00Z,-1346,UA/ ORD
1,UA,ORD,arr,1970-01-01T07:01:00Z,-2245,UA/ ORD
1,UA,ORD,arr,1970-01-01T07:11:00Z,-2362,UA/ ORD
1,UA,ORD,arr,1970-01-01T07:21:00Z,-1328,UA/ ORD
1,UA,ORD,arr,1970-01-01T07:31:00Z,-773,UA/ ORD
1,UA,ORD,arr,1970-01-01T07:41:00Z,-709,UA/ ORD
1,UA,ORD,arr,1970-01-01T07:51:00Z,-630,UA/ ORD
1,UA,ORD,arr,1970-01-01T08:01:00Z,-917,UA/ ORD
1,UA,ORD,arr,1970-01-01T08:11:00Z,-1303,UA/ ORD
1,UA,ORD,arr,1970-01-01T08:21:00Z,-1810,UA/ ORD
1,UA,ORD,arr,1970-01-01T08:31:00Z,-2654,UA/ ORD
1,UA,ORD,arr,1970-01-01T08:41:00Z,-3073,UA/ ORD
1,UA,ORD,arr,1970-01-01T08:51:00Z,-2815,UA/ ORD
1,UA,ORD,arr,1970-01-01T09:01:00Z,-1737,UA/ ORD
1,UA,ORD,arr,1970-01-01T09:11:00Z,-952,UA/ ORD
1,UA,ORD,arr,1970-01-01T09:21:00Z,-435,UA/ ORD
1,UA,ORD,arr,1970-01-01T09:31:00Z,-444,UA/ ORD
1,UA,ORD,arr,1970-01-01T09:41:00Z,-713,UA/ ORD
1,UA,ORD,arr,1970-01-01T09:51:00Z,-1193,UA/ ORD
1,UA,ORD,arr,1970-01-01T10:01:00Z,-2548,UA/ ORD
1,UA,ORD,arr,1970-01-01T10:11:00Z,-2795,UA/ ORD
1,UA,ORD,arr,1970-01-01T10:21:00Z,-1428,UA/ ORD
1,UA,ORD,arr,1970-01-01T10:31:00Z,-961,UA/ ORD
1,UA,ORD,arr,1970-01-01T10:41:00Z,-807,UA/ ORD
1,UA,ORD,arr,1970-01-01T10:51:00Z,-671,UA/ ORD
1,UA,ORD,arr,1970-01-01T11:01:00Z,-1281,UA/ ORD
1,UA,ORD,arr,1970-01-01T11:11:00Z,-2256,UA/ ORD
1,UA,ORD,arr,1970-01-01T11:21:00Z,-2775,UA/ ORD
1,UA,ORD,arr,1970-01-01T11:31:00Z,-2796,UA/ ORD
