airline,airport,type,block,n,airline_airport
AA,ATL,arr,1970-01-01T00:01:00Z,-460,AA/ ATL
AA,ATL,arr,1970-01-01T00:11:00Z,-357,AA/ ATL
AA,ATL,arr,1970-01-01T00:21:00Z,-346,AA/ ATL
AA,ATL,arr,1970-01-01T00:31:00Z,-248,AA/ ATL
AA,ATL,arr,1970-01-01T00:41:00Z,-198,AA/ ATL
AA,ATL,arr,1970-01-01T00:51:00Z,-143,AA/ ATL
AA,ATL,arr,1970-01-01T01:01:00Z,-124,AA/ ATL
AA,ATL,arr,1970-01-01T01:11:00Z,-114,AA/ ATL
AA,ATL,arr,1970-01-01T01:21:00Z,-72,AA/ ATL
AA,ATL,arr,1970-01-01T01:31:00Z,-59,AA/ ATL
AA,ATL,arr,1970-01-01T01:41:00Z,-48,AA/ ATL
AA,ATL,arr,1970-01-01T01:51:00Z,-36,AA/ ATL
AA,ATL,arr,1970-01-01T02:01:00Z,-49,AA/ ATL
AA,ATL,arr,1970-01-01T02:11:00Z,-34,AA/ ATL
AA,ATL,arr,1970-01-01T02:21:00Z,-25,AA/ ATL
AA,ATL,arr,1970-01-01T02:31:00Z,-15,AA/ ATL
AA,ATL,arr,1970-01-01T02:41:00Z,-19,AA/ ATL
AA,ATL,arr,1970-01-01T02:51:00Z,-11,AA/ ATL
AA,ATL,arr,1970-01-01T03:01:00Z,-9,AA/ ATL
AA,ATL,arr,1970-01-01T03:11:00Z,-9,AA/ ATL
AA,ATL,arr,1970-01-01T03:21:00Z,-11,AA/ ATL
AA,ATL,arr,1970-01-01T03:31:00Z,-7,AA/ ATL
AA,ATL,arr,1970-01-01T03:41:00Z,-3,AA/ ATL
AA,ATL,arr,1970-01-01T03:51:00Z,-4,AA/ ATL
AA,ATL,arr,1970-01-01T04:01:00Z,-2,AA/ ATL
AA,ATL,arr,1970-01-01T04:11:00Z,-3,AA/ ATL
AA,ATL,arr,1970-01-01T04:21:00Z,-2,AA/ ATL
AA,ATL,arr,1970-01-01T04:31:00Z,-18,AA/ ATL
AA,ATL,arr,1970-01-01T04:41:00Z,-25,AA/ ATL
AA,ATL,arr,1970-01-01T04:51:00Z,-27,AA/ ATL
AA,ATL,arr,1970-01-01T05:01:00Z,-24,AA/ ATL
AA,ATL,arr,1970-01-01T05:11:00Z,-36,AA/ ATL
AA,ATL,arr,1970-01-01T05:21:00Z,-43,AA/ ATL
AA,ATL,arr,1970-01-01T05:31:00Z,-68,AA/ ATL
AA,ATL,arr,1970-01-01T05:41:00Z,-65,AA/ ATL
AA,ATL,arr,1970-01-01T05:51:00Z,-43,AA/ ATL
AA,ATL,arr,1970-01-01T06:01:00Z,-109,AA/ ATL
AA,ATL,arr,1970-01-01T06:11:00Z,-85,AA/ ATL
AA,ATL,arr,1970-01-01T06:21:00Z,-66,AA/ ATL
AA,ATL,arr,1970-01-01T06:31:00Z,-73,AA/ ATL
AA,ATL,arr,1970-01-01T06:41:00Z,-64,AA/ ATL
AA,ATL,arr,1970-01-01T06:51:00Z,-50,AA/ ATL
AA,ATL,arr,1970-01-01T07:01:00Z,-33,AA/ ATL
AA,ATL,arr,1970-01-01T07:11:00Z,-19,AA/ ATL
AA,ATL,arr,1970-01-01T07:21:00Z,-9,AA/ ATL
AA,ATL,arr,1970-01-01T07:31:00Z,-17,AA/ ATL
AA,ATL,arr,1970-01-01T07:41:00Z,-12,AA/ ATL
AA,ATL,arr,1970-01-01T07:51:00Z,-14,AA/ ATL
AA,ATL,arr,1970-01-01T08:01:00Z,-38,AA/ ATL
AA,ATL,arr,1970-01-01T08:11:00Z,-113,AA/ ATL
AA,ATL,arr,1970-01-01T08:21:00Z,-182,AA/ ATL
AA,ATL,arr,1970-01-01T08:31:00Z,-77,AA/ ATL
AA,ATL,arr,1970-01-01T08:41:00Z,-45,AA/ ATL
AA,ATL,arr,1970-01-01T08:51:00Z,-113,AA/ ATL
AA,ATL,arr,1970-01-01T09:01:00Z,-196,AA/ ATL
AA,ATL,arr,1970-01-01T09:11:00Z,-112,AA/ ATL
AA,ATL,arr,1970-01-01T09:21:00Z,-57,AA/ ATL
AA,ATL,arr,1970-01-01T09:31:00Z,-55,AA/ ATL
AA,ATL,arr,1970-01-01T09:41:00Z,-78,AA/ ATL
AA,ATL,arr,1970-01-01T09:51:00Z,-175,AA/ ATL
AA,ATL,arr,1970-01-01T10:01:00Z,-406,AA/ ATL
AA,ATL,arr,1970-01-01T10:11:00Z,-592,AA/ ATL
AA,ATL,arr,1970-01-01T10:21:00Z,-668,AA/ ATL
AA,ATL,arr,1970-01-01T10:31:00Z,-601,AA/ ATL
AA,ATL,arr,1970-01-01T10:41:00Z,-419,AA/ ATL
AA,ATL,arr,1970-01-01T10:51:00Z,-280,AA/ ATL
AA,ATL,arr,1970-01-01T11:01:00Z,-261,AA/ ATL
AA,ATL,arr,1970-01-01T11:11:00Z,-408,AA/ ATL
AA,ATL,arr,1970-01-01T11:21:00Z,-737,AA/ ATL
AA,ATL,arr,1970-01-01T11:31:00Z,-645,AA/ ATL
AA,ATL,arr,1970-01-01T11:41:00Z,-311,AA/ ATL
AA,ATL,arr,1970-01-01T11:51:00Z,-205,AA/ ATL
AA,ATL,arr,1970-01-01T12:01:00Z,-153,AA/ ATL
AA,ATL,arr,1970-01-01T12:11:00Z,-133,AA/ ATL
AA,ATL,arr,1970-01-01T12:21:00Z,-76,AA/ ATL
AA,ATL,arr,1970-01-01T12:31:00Z,-57,AA/ ATL
AA,ATL,arr,1970-01-01T12:41:00Z,-58,AA/ ATL
AA,ATL,arr,1970-01-01T12:51:00Z,-71,AA/ ATL
