origin,yearly_passengers,hub_type
ATL,44302796,Large
ORD,31992302,Large
DEN,28665829,Large
DFW,27504431,Large
LAX,27223888,Large
LAS,21465771,Large
CLT,20561398,Large
PHX,20146404,Large
SFO,19436599,Large
MCO,18228163,Large
SEA,17885508,Large
MSP,16811418,Large
DTW,15360788,Large
BOS,15237896,Large
EWR,14979573,Large
IAH,14408530,Large
LGA,13566621,Large
JFK,12837248,Large
BWI,12602673,Large
PHL,12363030,Large
FLL,11909355,Large
DCA,11322002,Large
SLC,11120731,Large
MDW,10761723,Large
SAN,10577561,Large
MIA,9787986,Large
TPA,9104125,Large
PDX,8685344,Large
DAL,7925332,Large
STL,7318250,Large
IAD,7225049,Large
BNA,7032020,Medium
AUS,6804711,Medium
HOU,6287599,Medium
MSY,6042814,Medium
OAK,5826529,Medium
MCI,5768376,Medium
RDU,5582857,Medium
SJC,5534751,Medium
SMF,5206732,Medium
SNA,4997816,Medium
CLE,4387828,Medium
IND,4375012,Medium
SAT,4298244,Medium
PIT,4246005,Medium
RSW,4209004,Medium
CMH,3698549,Medium
CVG,3682528,Medium
MKE,3421109,Medium
PBI,3053722,Medium
BDL,3030170,Medium
JAX,2715992,Medium
ABQ,2478864,Medium
BUR,2464428,Medium
BUF,2358366,Medium
OMA,2293262,Medium
ONT,2220963,Medium
MEM,2126350,Medium
CHS,1964028,Medium
OKC,1955060,Medium
RNO,1947053,Medium
PVD,1887188,Medium
RIC,1838806,Medium
LGB,1832561,Medium
BOI,1815646,Medium
SDF,1716039,Small
ORF,1709002,Small
GEG,1704995,Small
TUS,1685121,Small
ELP,1471203,Small
GRR,1424115,Small
TUL,1408059,Small
ALB,1403020,Small
BHM,1383936,Small
SFB,1275016,Small
DSM,1274284,Small
ROC,1200800,Small
SAV,1194295,Small
MYR,1147156,Small
GSP,1057036,Small
PIE,1016519,Small
SYR,1009733,Small
LIT,990340,Small
TYS,974423,Small
MHT,971779,Small
MSN,949682,Small
DAY,937013,Small
PWM,925958,Small
GSO,887590,Small
PSP,871865,Small
COS,855384,Small
PNS,850292,Small
ICT,808028,Small
HPN,756143,Small
XNA,699281,Small
AZA,686061,Small
ISP,654450,Small
FAT,653291,Small
PGD,643825,Small
LEX,638076,Small
CAK,619910,Small
BZN,599532,Small
MDT,580349,Small
BTV,577316,Small
CID,575459,Small
VPS,567496,Small
SRQ,564395,Small
FSD,543922,Small
ACY,542532,Small
MAF,530097,Small
EUG,529592,Small
HSV,528366,Small
CAE,521349,Small
CHA,490075,Small
SGF,484183,Small
AVL,479347,Small
LBB,467822,Small
ECP,462323,Small
JAN,462216,Small
MFR,440740,Small
ILM,423692,Small
BIL,417456,Small
FAR,402430,Small
FNT,394486,Small
EYW,392874,Small
MSO,387607,Small
BTR,378990,Small
PSC,377381,Small
RDM,368850,Small
TTN,364224,Small
FWA,362268,Small
SBA,356760,Small
BLI,356403,Nonhub
TLH,355451,Nonhub
DAB,347701,Nonhub
