reporting_airline,airport,n,x,y
American Airlines,ABQ,3646,-603104.745800889,-1082686.4778323667
American Airlines,ALB,2069,2093896.6988834653,90839.80353075745
American Airlines,AMA,436,-155479.84081452896,-1084678.4667509194
American Airlines,ATL,23817,1438837.9937618312,-1129310.979486318
American Airlines,AUS,18606,225823.07315140465,-1638702.7618488022
American Airlines,BDL,8852,2208123.028463688,33971.4893617478
American Airlines,BNA,10313,1193955.4135102862,-891176.9680870201
American Airlines,BOI,2202,-1296364.617988922,-29797.04410178459
American Airlines,BOS,51965,2320658.4485041024,126152.13380139158
American Airlines,BUF,2111,1707245.286740146,-4371.266382491431
American Airlines,BWI,11706,1980887.5167152977,-365563.636502196
American Airlines,BZN,262,-861247.8507503188,146078.48264388298
American Airlines,CHS,2491,1853007.6958618572,-1124845.6869020823
American Airlines,CLE,4935,1498726.2792607923,-232627.15593650908
American Airlines,CLT,192038,1718765.594159813,-891788.5105128315
American Airlines,CMH,5111,1445821.7184349983,-405735.9494879742
American Airlines,COS,2838,-407608.2995632326,-676916.7449861787
American Airlines,CRP,136,248519.4938179987,-1904926.3228790544
American Airlines,CVG,1074,1316490.950820449,-539409.9479712159
American Airlines,DAB,8,1838701.06675774,-1551799.0940549509
American Airlines,DAY,1352,1337337.3311413545,-438530.28268780926
American Airlines,DCA,50821,1959959.090984065,-409479.41835946374
American Airlines,DEN,22040,-398957.8437938119,-559911.2634607605
American Airlines,DFW,274454,278083.31647186854,-1338465.2155458855
American Airlines,DSM,3298,527073.5637794238,-365025.8008899143
American Airlines,DTW,12323,1359641.697254995,-170996.60408534826
American Airlines,EGE,1876,-591915.5806713243,-570781.3448486088
American Airlines,ELP,2732,-605825.3288960081,-1441254.1790057654
American Airlines,EWR,15177,2135095.905011877,-139210.669492847
American Airlines,FAT,1472,-1740731.0681842598,-707419.3398996206
American Airlines,FLL,14388,1989416.8668556917,-1869685.279595282
American Airlines,GEG,1798,-1301359.421680582,434754.4516689109
American Airlines,GSO,188,1786518.0109945685,-773819.2638128912
American Airlines,GSP,745,1613274.8060153143,-951578.4592630994
American Airlines,GUC,294,-602974.1659594608,-693475.1482176824
American Airlines,HDN,303,-609905.1545202036,-475672.5575641322
American Airlines,IAD,5093,1922328.2460675351,-409030.73296909296
American Airlines,IAH,14510,452316.2866359444,-1652751.7266989667
American Airlines,ICT,734,226443.7486944286,-813259.0022928995
American Airlines,ILM,1712,2011109.1479966196,-926704.3084000075
American Airlines,IND,7356,1166867.010981104,-490339.71160834696
American Airlines,JAC,1242,-861423.9636510183,-97950.92206649132
American Airlines,JAX,6576,1752547.7524868262,-1421732.3716896002
American Airlines,JFK,32755,2167729.4793459354,-134551.3799715436
American Airlines,LAS,29574,-1356682.4796960566,-868251.8410072095
American Airlines,LAX,69206,-1689593.4354288722,-1043456.7015018368
American Airlines,LBB,429,-169260.8260850428,-1256692.0105488796
American Airlines,LGA,44435,2155684.513057,-122316.28523641168
American Airlines,MCI,10166,455074.4312943624,-619331.8913740775
American Airlines,MCO,35860,1829771.2698870576,-1638824.7811905802
American Airlines,MDT,1050,1943193.8006085365,-257785.2270711698
American Airlines,MEM,5880,913341.2595404746,-1051685.0479322155
American Airlines,MFE,1621,178187.07418528103,-2082010.5655443657
American Airlines,MHT,80,2266652.2564188894,174443.80657271238
American Airlines,MIA,95189,1981134.7610135972,-1902847.3929129404
