airline,airport,year,Arrival,Departure
AA,ORD,1995,2.34815675939556,2.7882581558767066
AA,ORD,1996,2.1752376932034143,2.710557686494965
AA,ORD,1997,2.132155131112866,2.579271363429543
AA,ORD,1998,2.130327891734034,2.6347420650196227
AA,ORD,1999,2.08679986324362,2.592800499464266
AA,ORD,2000,2.0167245723966634,2.565277424843496
AA,ORD,2001,2.093996128687882,2.371468338351109
AA,ORD,2002,1.2104071572457904,1.8064892579326928
AA,ORD,2003,1.054502404534246,1.5682568319595627
AA,ORD,2004,0.9784011911407537,1.4277092910793756
AA,ORD,2005,1.1160404456577346,1.6566153753852164
AA,ORD,2006,0.7866816022328256,1.3277810390626754
AA,ORD,2007,0.7627249814314506,1.2210388762648294
AA,ORD,2008,0.8361414126247038,1.3474640844367567
AA,ORD,2009,0.9792149760575803,1.420960142681824
AA,ORD,2010,0.8881405738483831,1.3377289242342134
AA,ORD,2011,0.9618161872219567,1.3361133508997463
AA,ORD,2012,1.088383383610175,1.4258164238629303
AA,ORD,2013,0.93418186133963,1.2281875760076424
AA,ORD,2014,1.0488221674189202,1.3083288493946437
AA,ORD,2015,1.6144338546892794,2.1447699027057703
AA,ORD,2016,1.924033544136075,2.3316289310427067
AA,ORD,2017,1.8753857460123904,2.188824011758008
AA,ORD,2018,1.8710077788333188,2.1334203917112164
AA,ORD,2019,1.9281307585483203,2.2005806067678466
AA,ORD,2020,1.7868144928156033,2.4200756563550048
AA,ORD,2021,1.6825300677760027,2.25065305394333
AA,ORD,2022,1.909268275430031,2.3203325400717154
AA,ORD,2023,2.193119076487133,2.3391478748232855
AA,ORD,2024,2.3276189625879566,2.4222140777502212
UA,ORD,1995,2.1543443705206964,2.3863215673880984
UA,ORD,1996,1.9589908915052996,2.2636981615719
UA,ORD,1997,2.0493264538479194,2.28365325099598
UA,ORD,1998,2.029777376111566,2.3291056126578806
UA,ORD,1999,2.014845442383479,2.3714406933038372
UA,ORD,2000,1.5532893132230616,2.037013228346166
UA,ORD,2001,0,0
UA,ORD,2002,1.6351424017145884,2.3823085482647492
UA,ORD,2003,1.7139821814445428,2.5378914995562547
UA,ORD,2004,1.273642467986773,2.3109455736392084
UA,ORD,2005,1.3127243121093535,2.2852094144958257
UA,ORD,2006,1.2344542592940049,2.290438174947462
UA,ORD,2007,1.2917849419449179,2.3496304201408074
UA,ORD,2008,1.2869489964069345,2.189328770756262
UA,ORD,2009,1.5761192900022885,2.487924479446345
UA,ORD,2010,1.71686070309268,2.4689524039863633
UA,ORD,2011,1.6188059844629272,2.331857115463685
UA,ORD,2012,1.4861388844151595,2.2626971009100996
UA,ORD,2013,1.4481583798897895,2.209194468263652
UA,ORD,2014,1.5954151745685918,2.2026701062968668
UA,ORD,2015,1.781691807482139,2.2630262859387162
UA,ORD,2016,1.9765377552542227,2.394275714004025
UA,ORD,2017,2.2189357153149163,2.517558645505422
UA,ORD,2018,2.333166528840705,2.7498873335196414
UA,ORD,2019,2.396555172556223,2.78967618745267
UA,ORD,2020,2.559055272066302,2.87180903049761
UA,ORD,2021,2.506508877312021,2.6908000205102534
UA,ORD,2022,2.5508530616163663,2.6493365773127042
UA,ORD,2023,2.49574158188521,2.604354224614526
UA,ORD,2024,2.40271906785441,2.572871348364069
