Reporting_Airline,flight_count,Year
AA,105467,1995
UA,140870,1995
AA,104144,1996
UA,140607,1996
AA,105384,1997
UA,141803,1997
AA,101358,1998
UA,141990,1998
AA,98790,1999
UA,141453,1999
AA,100369,2000
UA,135982,2000
AA,83372,2001
AA,99911,2002
UA,108774,2002
AA,90303,2003
UA,118741,2003
AA,91692,2004
UA,117497,2004
AA,81521,2005
UA,95764,2005
AA,73024,2006
UA,91479,2006
AA,70805,2007
UA,89963,2007
AA,66598,2008
UA,84342,2008
AA,58840,2009
UA,70825,2009
AA,54432,2010
UA,62084,2010
AA,51309,2011
UA,55262,2011
AA,49025,2012
UA,60063,2012
AA,50202,2013
UA,56449,2013
AA,47599,2014
UA,55267,2014
AA,54416,2015
UA,63250,2015
AA,60876,2016
UA,68820,2016
AA,62599,2017
UA,71827,2017
AA,62339,2018
UA,75298,2018
AA,63502,2019
UA,75337,2019
AA,30829,2020
UA,32412,2020
AA,41945,2021
UA,47185,2021
AA,49198,2022
UA,66371,2022
AA,47485,2023
UA,82060,2023
AA,24072,2024
UA,41547,2024
