airline,airport,type,block,n,airline_airport,year
AA,ORD,arr,1970-01-01T00:01:00Z,-128,AA/ ORD,1995
AA,ORD,arr,1970-01-01T00:11:00Z,-67,AA/ ORD,1995
AA,ORD,arr,1970-01-01T00:21:00Z,-26,AA/ ORD,1995
AA,ORD,arr,1970-01-01T00:31:00Z,-14,AA/ ORD,1995
AA,ORD,arr,1970-01-01T00:41:00Z,-12,AA/ ORD,1995
AA,ORD,arr,1970-01-01T00:51:00Z,-16,AA/ ORD,1995
AA,ORD,arr,1970-01-01T01:01:00Z,-10,AA/ ORD,1995
AA,ORD,arr,1970-01-01T01:11:00Z,-8,AA/ ORD,1995
AA,ORD,arr,1970-01-01T01:21:00Z,-7,AA/ ORD,1995
AA,ORD,arr,1970-01-01T01:31:00Z,-8,AA/ ORD,1995
AA,ORD,arr,1970-01-01T01:51:00Z,-4,AA/ ORD,1995
AA,ORD,arr,1970-01-01T02:01:00Z,-3,AA/ ORD,1995
AA,ORD,arr,1970-01-01T02:21:00Z,-1,AA/ ORD,1995
AA,ORD,arr,1970-01-01T02:31:00Z,-2,AA/ ORD,1995
AA,ORD,arr,1970-01-01T03:01:00Z,-3,AA/ ORD,1995
AA,ORD,arr,1970-01-01T03:11:00Z,-1,AA/ ORD,1995
AA,ORD,arr,1970-01-01T03:31:00Z,-1,AA/ ORD,1995
AA,ORD,arr,1970-01-01T03:41:00Z,-1,AA/ ORD,1995
AA,ORD,arr,1970-01-01T03:51:00Z,-1,AA/ ORD,1995
AA,ORD,arr,1970-01-01T04:11:00Z,-1,AA/ ORD,1995
AA,ORD,arr,1970-01-01T04:21:00Z,-17,AA/ ORD,1995
AA,ORD,arr,1970-01-01T04:31:00Z,-64,AA/ ORD,1995
AA,ORD,arr,1970-01-01T04:41:00Z,-135,AA/ ORD,1995
AA,ORD,arr,1970-01-01T04:51:00Z,-224,AA/ ORD,1995
AA,ORD,arr,1970-01-01T05:01:00Z,-176,AA/ ORD,1995
AA,ORD,arr,1970-01-01T05:11:00Z,-181,AA/ ORD,1995
AA,ORD,arr,1970-01-01T05:21:00Z,-442,AA/ ORD,1995
AA,ORD,arr,1970-01-01T05:31:00Z,-730,AA/ ORD,1995
AA,ORD,arr,1970-01-01T05:41:00Z,-638,AA/ ORD,1995
AA,ORD,arr,1970-01-01T05:51:00Z,-294,AA/ ORD,1995
AA,ORD,arr,1970-01-01T06:01:00Z,-130,AA/ ORD,1995
AA,ORD,arr,1970-01-01T06:11:00Z,-43,AA/ ORD,1995
