"airline","origin","passenger_count","quartile"
"AA","BUF",69363,1
"AA","ALB",53805,1
"AA","BOI",48605,1
"AA","JAC",44289,1
"AA","LBB",43153,1
"AA","OGG",272191,2
"AA","BDL",271927,2
"AA","ABQ",240775,2
"AA","STT",238341,2
"AA","CMH",230871,2
"AA","MSP",774017,3
"AA","RDU",733700,3
"AA","SNA",731759,3
"AA","STL",694296,3
"AA","SAT",627896,3
"AA","DFW",18757567,4
"AA","MIA",7367891,4
"AA","ORD",7329171,4
"AA","CLT",6755672,4
"AA","LAX",4907740,4
"DL","MHT",58295,1
"DL","FSD",55006,1
"DL","TRI",52180,1
"DL","FAY",48981,1
"DL","COS",48273,1
"DL","VPS",177481,2
"DL","ROC",174447,2
"DL","MLB",172221,2
"DL","OGG",170759,2
"DL","STT",163115,2
"DL","MEM",545101,3
"DL","AUS",505800,3
"DL","SJU",487497,3
"DL","CHS",454535,3
"DL","SAT",445049,3
"DL","ATL",32348006,4
"DL","MSP",8444433,4
"DL","DTW",7190320,4
"DL","SLC",5051722,4
"DL","LAX",4228649,4
"UA","STL",47668,1
"UA","RIC",39415,1
"UA","CLT",36674,1
"UA","ITO",34429,1
"UA","MFE",31239,1
"UA","RNO",103728,2
"UA","GEG",93330,2
"UA","GUM",91860,2
"UA","CMH",90453,2
"UA","DSM",87935,2
"UA","PHL",540276,3
"UA","MIA",475860,3
"UA","DFW",475115,3
"UA","JFK",463502,3
"UA","BWI",453586,3
"UA","ORD",8657104,4
"UA","IAH",7991454,4
"UA","SFO",7107738,4
"UA","DEN",6855167,4
"UA","EWR",6264492,4
"WN","MEM",338809,1
"WN","MAF",305254,1
"WN","CHS",298668,1
"WN","ORF",294620,1
"WN","LIT",277713,1
"WN","BDL",824489,2
"WN","BUF",813869,2
"WN","DTW",793135,2
"WN","RNO",735690,2
"WN","ELP",713729,2
"WN","MSY",2162157,3
"WN","SFO",1705808,3
"WN","SAT",1701455,3
"WN","SEA",1592986,3
"WN","MKE",1578739,3
"WN","MDW",10297413,4
"WN","LAS",9137291,4
"WN","BWI",8280972,4
"WN","DEN",7965952,4
"WN","PHX",7198470,4
