airline,airport,type,fitted,block
AA,ABE,Departure,0,2017-01-01T00:01:00Z
AA,ABE,Departure,0,2017-01-01T00:11:00Z
AA,ABE,Departure,0,2017-01-01T00:21:00Z
AA,ABE,Departure,0,2017-01-01T00:31:00Z
AA,ABE,Departure,0,2017-01-01T00:41:00Z
AA,ABE,Departure,0,2017-01-01T00:51:00Z
AA,ABE,Departure,0,2017-01-01T01:01:00Z
AA,ABE,Departure,0,2017-01-01T01:11:00Z
AA,ABE,Departure,0,2017-01-01T01:21:00Z
AA,ABE,Departure,0,2017-01-01T01:31:00Z
AA,ABE,Departure,0,2017-01-01T01:41:00Z
AA,ABE,Departure,0,2017-01-01T01:51:00Z
AA,ABE,Departure,0,2017-01-01T02:01:00Z
AA,ABE,Departure,0,2017-01-01T02:11:00Z
AA,ABE,Departure,0,2017-01-01T02:21:00Z
AA,ABE,Departure,0,2017-01-01T02:31:00Z
AA,ABE,Departure,0,2017-01-01T02:41:00Z
AA,ABE,Departure,0,2017-01-01T02:51:00Z
AA,ABE,Departure,0,2017-01-01T03:01:00Z
AA,ABE,Departure,0,2017-01-01T03:11:00Z
AA,ABE,Departure,0,2017-01-01T03:21:00Z
AA,ABE,Departure,0,2017-01-01T03:31:00Z
AA,ABE,Departure,0,2017-01-01T03:41:00Z
AA,ABE,Departure,0,2017-01-01T03:51:00Z
AA,ABE,Departure,0,2017-01-01T04:01:00Z
AA,ABE,Departure,0,2017-01-01T04:11:00Z
AA,ABE,Departure,0,2017-01-01T04:21:00Z
AA,ABE,Departure,0,2017-01-01T04:31:00Z
AA,ABE,Departure,0,2017-01-01T04:41:00Z
AA,ABE,Departure,0,2017-01-01T04:51:00Z
AA,ABE,Departure,0,2017-01-01T05:01:00Z
AA,ABE,Departure,0,2017-01-01T05:11:00Z
AA,ABE,Departure,0,2017-01-01T05:21:00Z
AA,ABE,Departure,0,2017-01-01T05:31:00Z
AA,ABE,Departure,0,2017-01-01T05:41:00Z
AA,ABE,Departure,0,2017-01-01T05:51:00Z
AA,ABE,Departure,0,2017-01-01T06:01:00Z
